"","Date","true_closeprice","closepricehat"
"2018-04-02",1,5167.299805,5138.99010423684
"2018-04-03",2,5152.120117,5166.90310216101
"2018-04-04",3,5141.799805,5147.59729728949
"2018-04-05",4,5276.669922,5139.44076893211
"2018-04-06",5,5258.240234,5285.95425776978
"2018-04-09",6,5263.390137,5256.00568800445
"2018-04-10",7,5307.560059,5274.74909493732
"2018-04-11",8,5277.939941,5299.0777678974
"2018-04-12",9,5309.220215,5273.02130749173
"2018-04-13",10,5315.02002,5316.35597517885
"2018-04-16",11,5312.959961,5307.86916912844
"2018-04-17",12,5353.540039,5317.3034872435
"2018-04-18",13,5380.169922,5356.27215256205
"2018-04-19",14,5391.640137,5381.41430955547
"2018-04-20",15,5412.830078,5393.84485629621
"2018-04-23",16,5438.549805,5415.63993930537
"2018-04-24",17,5444.160156,5439.32594227791
"2018-04-25",18,5413.299805,5444.30350744359
"2018-04-26",19,5453.580078,5411.37915070567
"2018-04-27",20,5483.189941,5457.43245024901
"2018-04-30",21,5520.5,5480.75288953779
"2018-05-02",22,5529.220215,5525.55683848031
"2018-05-03",23,5501.660156,5528.39186145687
"2018-05-04",24,5516.049805,5499.30438908735
"2018-05-07",25,5531.419922,5517.70545858633
"2018-05-08",26,5521.930176,5531.01563046674
"2018-05-09",27,5534.629883,5524.34987930055
"2018-05-10",28,5545.950195,5537.2839271042
"2018-05-11",29,5541.939941,5545.19891469938
"2018-05-14",30,5540.680176,5542.93198403503
"2018-05-15",31,5553.160156,5541.34049561592
"2018-05-16",32,5567.540039,5554.49269101479
"2018-05-17",33,5621.919922,5569.4308662015
"2018-05-18",34,5614.509766,5636.64984253308
"2018-05-21",35,5637.509766,5612.69299931063
"2018-05-22",36,5640.100098,5648.9134781263
"2018-05-23",37,5565.850098,5636.25146276275
"2018-05-24",38,5548.450195,5559.14170889785
"2018-05-25",39,5542.549805,5548.58781184054
"2018-05-28",40,5508.930176,5536.14463153948
"2018-05-29",41,5438.060059,5514.25199402886
"2018-05-30",42,5427.350098,5435.60166520375
"2018-05-31",43,5398.399902,5423.568345927
"2018-06-01",44,5465.529785,5392.08802376509
"2018-06-04",45,5472.910156,5490.51235321887
"2018-06-05",46,5460.950195,5473.80333580082
"2018-06-06",47,5457.560059,5471.0748153048
"2018-06-07",48,5448.359863,5450.95795306824
"2018-06-08",49,5450.220215,5446.439025211
"2018-06-11",50,5473.910156,5451.17901652278
"2018-06-12",51,5453.370117,5477.33111888334
"2018-06-13",52,5452.72998,5452.17221780324
"2018-06-14",53,5528.459961,5457.21588927244
"2018-06-15",54,5501.879883,5536.38613325887
"2018-06-18",55,5450.47998,5500.48350269606
"2018-06-19",56,5390.629883,5459.26813836027
"2018-06-20",57,5372.310059,5380.18061821132
"2018-06-21",58,5316.009766,5366.31996391076
"2018-06-22",59,5387.379883,5311.63381684847
"2018-06-25",60,5283.859863,5403.66840522646
"2018-06-26",61,5281.290039,5263.74445702374
"2018-06-27",62,5327.200195,5290.26787379851
"2018-06-28",63,5275.640137,5311.76370866388
"2018-06-29",64,5323.529785,5283.22119162102
"2018-07-02",65,5276.759766,5337.73562791709
"2018-07-03",66,5316.77002,5267.78240730789
"2018-07-04",67,5320.5,5324.41811553179
"2018-07-05",68,5366.319824,5315.44094873869
"2018-07-06",69,5375.77002,5373.16621444128
"2018-07-09",70,5398.109863,5376.22348494827
"2018-07-10",71,5434.359863,5402.83465446831
"2018-07-11",72,5353.930176,5436.7521688249
"2018-07-12",73,5405.899902,5349.33696606459
"2018-07-13",74,5429.200195,5411.56854732656
"2018-07-16",75,5409.430176,5421.82106797012
"2018-07-17",76,5422.540039,5418.55310833994
"2018-07-18",77,5447.439941,5424.54978691376
"2018-07-19",78,5417.069824,5445.77720780577
"2018-07-20",79,5398.319824,5419.63056966446
"2018-07-23",80,5378.25,5400.52856369178
"2018-07-24",81,5434.189941,5371.14405464155
"2018-07-25",82,5426.410156,5435.6060513116
"2018-07-26",83,5480.549805,5428.53094216827
"2018-07-27",84,5511.759766,5528.44775048464
"2018-07-30",85,5491.220215,5512.4492424136
"2018-07-31",86,5511.299805,5496.98730096936
"2018-08-01",87,5498.370117,5511.87433171929
"2018-08-02",88,5460.97998,5496.44067161626
"2018-08-03",89,5478.97998,5462.15538534996
"2018-08-06",90,5477.180176,5477.35100927477
"2018-08-07",91,5521.310059,5473.95988739449
"2018-08-08",92,5501.899902,5531.23802905482
"2018-08-09",93,5502.25,5505.28788035316
"2018-08-10",94,5414.680176,5510.33579778394
"2018-08-13",95,5412.319824,5407.80685982955
"2018-08-14",96,5403.410156,5410.84346732785
"2018-08-15",97,5305.220215,5397.39057512778
"2018-08-16",98,5349.02002,5307.91694016343
"2018-08-17",99,5344.930176,5348.47235566314
"2018-08-20",100,5379.649902,5334.09419740799
"2018-08-21",101,5408.600098,5392.7647221148
"2018-08-22",102,5420.609863,5489.39534882472
"2018-08-23",103,5419.330078,5634.518876706
"2018-08-24",104,5432.5,5422.0802960932
"2018-08-27",105,5479.100098,5431.04873657157
"2018-08-28",106,5484.990234,5574.73701198382
"2018-08-29",107,5501.330078,5489.91546641354
"2018-08-30",108,5478.060059,5508.00066572195
"2018-08-31",109,5406.850098,5474.84569279668
"2018-09-03",110,5413.799805,5404.38323073979
"2018-09-04",111,5342.700195,5407.67930188235
"2018-09-05",112,5260.220215,5328.97372071645
"2018-09-06",113,5243.839844,5262.23015655267
"2018-09-07",114,5252.220215,5231.28376085684
"2018-09-10",115,5269.629883,5250.18705333447
"2018-09-11",116,5283.790039,5278.47064075446
"2018-09-12",117,5332.129883,5289.01747682095
"2018-09-13",118,5328.120117,5337.31729884908
"2018-09-14",119,5352.569824,5330.60005434145
"2018-09-17",120,5348.870117,5357.77491619392
"2018-09-18",121,5363.790039,5345.48844044072
"2018-09-19",122,5393.740234,5365.0172993068
"2018-09-20",123,5451.589844,5393.07886624657
"2018-09-21",124,5494.169922,5459.59027592968
"2018-09-24",125,5476.169922,5505.78854565155
"2018-09-25",126,5479.100098,5483.59245647534
"2018-09-26",127,5512.72998,5478.3378787706
"2018-09-27",128,5540.410156,5507.05440201168
"2018-09-28",129,5493.490234,5545.23275346779
"2018-10-01",130,5506.819824,5498.05363722607
"2018-10-02",131,5467.890137,5507.34089315979
"2018-10-03",132,5491.399902,5457.28372141338
"2018-10-04",133,5410.850098,5495.40899519955
"2018-10-05",134,5359.359863,5403.81125984506
"2018-10-08",135,5300.25,5357.69318823619
"2018-10-09",136,5318.549805,5281.25739078486
"2018-10-10",137,5206.220215,5315.26425031463
"2018-10-11",138,5106.370117,5197.88643699187
"2018-10-12",139,5095.97998,5094.70676216657
"2018-10-15",140,5095.069824,5076.06777945886
"2018-10-16",141,5173.049805,5088.90633321312
"2018-10-17",142,5144.950195,5179.27967255951
"2018-10-18",143,5116.790039,5151.46405211512
"2018-10-19",144,5084.660156,5123.40390335326
"2018-10-22",145,5053.310059,5075.00447403863
"2018-10-23",146,4967.689941,5047.69527511735
"2018-10-24",147,4953.089844,4958.62029166985
"2018-10-25",148,5032.299805,4941.5148103578
"2018-10-26",149,4967.370117,5027.31353582321
"2018-10-29",150,4989.350098,4972.41723656108
"2018-10-30",151,4978.529785,5002.08073238162
"2018-10-31",152,5093.439941,4968.207932658
"2018-11-01",153,5085.779785,5099.15704024435
"2018-11-02",154,5102.129883,5100.61451023255
"2018-11-05",155,5101.390137,5107.79817812963
"2018-11-06",156,5075.189941,5101.11974045942
"2018-11-07",157,5137.939941,5071.67625004014
"2018-11-08",158,5131.450195,5137.23628961409
"2018-11-09",159,5106.75,5132.84354072893
"2018-11-12",160,5059.089844,5111.39855966865
"2018-11-13",161,5101.850098,5052.68038197751
"2018-11-14",162,5068.850098,5098.20496869906
"2018-11-15",163,5033.620117,5065.8090420176
"2018-11-16",164,5025.200195,5034.75462015943
"2018-11-19",165,4985.450195,5020.59613236403
"2018-11-20",166,4924.890137,4981.40513592808
"2018-11-21",167,4975.5,4919.90790617367
"2018-11-22",168,4938.140137,4968.03075413579
"2018-11-23",169,4946.950195,4935.27236851536
"2018-11-26",170,4994.97998,4949.46326346253
"2018-11-27",171,4983.149902,4992.55313881025
"2018-11-28",172,4983.240234,4985.78825446198
"2018-11-29",173,5006.25,4987.69636469385
"2018-11-30",174,5003.919922,5003.08390437454
"2018-12-03",175,5053.97998,5004.05576554972
"2018-12-04",176,5012.660156,5059.66696145616
"2018-12-05",177,4944.370117,5013.70341676615
"2018-12-06",178,4780.459961,4944.0974620879
"2018-12-07",179,4813.129883,4751.87877124846
"2018-12-10",180,4742.379883,4794.48601401081
"2018-12-11",181,4806.200195,4726.01775356079
"2018-12-12",182,4909.450195,4808.769227184
"2018-12-13",183,4896.919922,4912.67027376683
"2018-12-14",184,4853.700195,4912.96176716992
"2018-12-17",185,4799.870117,4852.43461726689
"2018-12-18",186,4754.080078,4793.27998064788
"2018-12-19",187,4777.450195,4745.46346550618
"2018-12-20",188,4692.459961,4770.55811096393
"2018-12-21",189,4694.379883,4687.57160937094
"2018-12-24",190,4626.390137,4688.61420640575
"2018-12-26",191,4626.390137,4684.41439728028
"2018-12-27",192,4598.609863,4616.16297836328
"2018-12-28",193,4678.740234,4580.56877607258
"2018-12-31",194,4730.689941,4673.90032826539
"2019-01-02",195,4689.390137,4738.3951797893
"2019-01-03",196,4611.490234,4699.97893096896
"2019-01-04",197,4737.120117,4604.6459012963
"2019-01-07",198,4719.169922,4722.32100353823
"2019-01-08",199,4773.27002,4725.82476260989
"2019-01-09",200,4813.580078,4779.574736857
"2019-01-10",201,4805.660156,4809.39549014199
"2019-01-11",202,4781.339844,4806.10443179605
"2019-01-14",203,4762.75,4778.20614643441
"2019-01-15",204,4786.169922,4755.25649722289
"2019-01-16",205,4810.740234,4780.71118551339
"2019-01-17",206,4794.370117,4812.43471549841
"2019-01-18",207,4875.930176,4796.03174570855
"2019-01-21",208,4867.779785,4873.31079314635
"2019-01-22",209,4847.529785,4871.18362319975
"2019-01-23",210,4840.379883,4849.0907128257
"2019-01-24",211,4871.959961,4832.84445071104
"2019-01-25",212,4925.819824,4862.91673801995
"2019-01-28",213,4888.580078,4930.2861941908
"2019-01-29",214,4928.180176,4893.1621205632
"2019-01-30",215,4974.759766,4926.90379389608
"2019-01-31",216,4992.720215,4976.42394664052
"2019-02-01",217,5019.259766,4996.84583411221
"2019-02-04",218,5000.189941,5021.82853720719
"2019-02-05",219,5083.339844,5000.50071393404
"2019-02-06",220,5079.049805,5084.01600938778
"2019-02-07",221,4985.560059,5086.71699336291
"2019-02-08",222,4961.640137,4986.07825628821
"2019-02-11",223,5014.470215,4949.63261941298
"2019-02-12",224,5056.350098,5010.29238275743
"2019-02-13",225,5074.27002,5062.36237345655
"2019-02-14",226,5062.52002,5080.78954534032
"2019-02-15",227,5153.189941,5062.70450682056
"2019-02-18",228,5168.540039,5152.67468704915
"2019-02-19",229,5160.52002,5173.29425683325
"2019-02-20",230,5195.950195,5163.11464195049
"2019-02-21",231,5196.109863,5195.79781094591
"2019-02-22",232,5215.850098,5199.27860785479
"2019-02-25",233,5231.850098,5219.23137223588
"2019-02-26",234,5238.720215,5233.66191740226
"2019-02-27",235,5225.350098,5240.74656224343
"2019-02-28",236,5240.529785,5228.81794158579
