"","Date","true_return","returnhat"
"2019-04-01",1,0.837792382425102,0.127652982962303
"2019-04-02",2,0.103494828753497,-0.0402946962279699
"2019-04-03",3,0.486923617583752,-0.0478506807898099
"2019-04-04",4,-0.254722059305798,-0.0330274881380092
"2019-04-05",5,0.353294541204891,0.0624337465240033
"2019-04-08",6,0.857262259392191,0.0805738359398256
"2019-04-09",7,0.491364474755844,0.130471521837258
"2019-04-10",8,0.834705626248672,0.0427463923048057
"2019-04-11",9,-1.02651876813974,0.0494122952843366
"2019-04-12",10,0.504241650185562,0.0635322379728928
"2019-04-15",11,-0.383214798996569,0.12352419673811
"2019-04-16",12,0.514799162660227,0.199120392936629
"2019-04-17",13,0.606379254162988,-0.0194401306768353
"2019-04-18",14,-0.187064104740462,0.0507793566205263
"2019-04-22",15,0.885443334318302,0.00729726851384795
"2019-04-23",16,0.131143731557856,0.0464693628527677
"2019-04-24",17,-0.813532658682433,0.170823613158241
"2019-04-25",18,-1.07978201896132,-0.00457614454529518
"2019-04-26",19,0.0679522089150067,-0.0307814816398804
"2019-04-29",20,0.487005219977411,0.104117583142236
"2019-04-30",21,-0.393577845774351,0.0929592344319985
"2019-05-02",22,-0.626816347470867,-0.0989325140566798
"2019-05-03",23,0.637885946440886,-0.14262879436758
"2019-05-06",24,-0.167659768000416,0.0670300387893415
"2019-05-07",25,-0.475269132043983,0.0740841034254217
"2019-05-08",26,-0.295258799122697,-0.119707750673663
"2019-05-09",27,-0.295258799122697,-0.0322790202936624
"2019-05-10",28,-1.21698084253318,0.0616419550114601
"2019-05-13",29,-0.392580933827596,-0.109395470983703
"2019-05-14",30,2.15308214825509,-0.141790864371762
"2019-05-15",31,0.345129558338613,0.156482215967319
"2019-05-16",32,0.883537909996734,0.0509509873920241
"2019-05-17",33,-0.401142991983151,-0.141624918347025
"2019-05-20",34,0.100387654399668,0.079326483733282
"2019-05-21",35,1.40460066922623,0.181153867527373
"2019-05-22",36,0.825243869931137,0.230949365174788
"2019-05-23",37,-1.03647916233467,0.220007553552734
"2019-05-24",38,0.227662050413035,-0.12520170752748
"2019-05-27",39,0.545729758561587,0.075141248288142
"2019-05-28",40,-1.01490600592805,0.332072850587149
"2019-05-29",41,0.292793291106791,-0.0342868064432487
"2019-05-30",42,0.641596067421164,-0.0914938553292153
"2019-05-31",43,0.0394308621692987,0.164359335488044
"2019-06-03",44,1.66775030008246,0.0154576071682312
"2019-06-04",45,-0.441764764922285,0.0515102874600894
"2019-06-05",46,-0.2425825911444,0.115888632430597
"2019-06-06",47,0.975102481722191,0.00799995287031826
"2019-06-07",48,0.36032690238211,0.158691212696434
"2019-06-10",49,0.569928707988305,0.216012458643528
"2019-06-11",50,0.443255398838549,0.0202416838822763
"2019-06-12",51,0.443255398838549,0.109983372554612
"2019-06-13",52,0.215577727698322,0.175283237207906
"2019-06-14",53,-0.337570460502917,0.124839887472554
"2019-06-17",54,-0.00331453500572159,0.100285848792381
"2019-06-18",55,1.06622562238325,0.10197717678805
"2019-06-19",56,0.114946381031032,0.161030571857384
"2019-06-20",57,1.71406842321609,0.0700134612859055
"2019-06-21",58,-0.904562119018543,0.118531372978489
"2019-06-24",59,0.682013560293456,0.103872840341553
"2019-06-25",60,-0.341866845455252,0.115013174869664
"2019-06-26",61,0.328425353151547,0.186032407195753
"2019-06-27",62,0.0866228984924845,0.120526407843363
"2019-06-28",63,-0.421580812223933,0.0439884243609392
"2019-07-01",64,1.19360120167201,0.0699687500285629
"2019-07-02",65,-0.183011543889936,0.0529673609625454
"2019-07-03",66,0.188116563963474,0.143653068953969
