,AORD,N225,KS11,SSE,HIS,KLSE,STI,BSESN,XU100,TASI,JTOPI,RTSI,FCHI,FTSE,DAX,BVSP,S&P500,MXX,GSPTSE,MERV
AORD,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
N225,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
KS11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
SSE,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
HIS,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
KLSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
STI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
BSESN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
XU100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
TASI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
JTOPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTSI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S&P500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MXX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSPTSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
